problem_description,answer
"Let $n$ beads be arranged on a circle and indexed $0,1,\dots,n-1$. Each bead is colored by an element of the finite field $\mathbb{F}_7=\mathbb{Z}/7\mathbb{Z}$. Two colorings $(c_0,\dots,c_{n-1})\in \mathbb{F}_7^n$ are considered equivalent if one can be obtained from the other by a rotation or reflection of the necklace (i.e.\ by the usual dihedral action $D_n$ on indices).
A coloring is \emph{admissible} if it satisfies all three linear constraints in $\mathbb{F}_7$:
\text{(C0)}\ \sum_{i=0}^{n-1} c_i \equiv 0,\qquad
\text{(C1)}\ \sum_{i=0}^{n-1} i\,c_i \equiv 0,\qquad
\text{(C2)}\ \sum_{\substack{0\le i\le n-1\\ i\equiv 0\ (\mathrm{mod}\ 3)}} c_i \equiv 1.
For this problem, take $n=30$.
 How many $D_n$–equivalence classes of admissible colorings are there for $n=30$? Report your answer modulo $1{,}000{,}003$ as a positive integer.",587104
"Let $H$ be the set of all hyperplanes in $\mathbb{R}^{48}$ given by 
$x_i - x_j = 0$ or $x_i - x_j = 1$ 
for every pair of indices with $1 \le i < j \le 48$.  
Intersect $H$ with the hyperplane 
$x_1 + x_2 + \cdots + x_{48} = 0$ 
to obtain an arrangement inside that $47$-dimensional subspace.  
Let $r$ be the number of regions of this arrangement, and let $b$ be the number of relatively bounded regions.  
What is the remainder of $(r - b)$ when divided by $48$?",2
"Consider a random permutation of the letters in the word \texttt{MISSISSIPPI}.  
Each permutation is equally likely.
What is the probability that no two \textbf{S}'s stand next to each other,  
no two \textbf{I}'s stand next to each other,  
and no two \textbf{P}'s stand next to each other?",16/275
"Let $X$ be the set of real numbers and define
A = \left\{ \frac{1}{n} \;\middle|\; n = 1, 2, 3, \dots \right\}.
Define a topology $\tau$ on $X$ by declaring that a set $O \subset X$ belongs to $\tau$ if and only if
O = U - B,
where $U$ is an open set in the usual Euclidean topology on $\mathbb{R}$ and $B \subset A$.
Determine whether the topological space $(X,\tau)$ is \textbf{countably paracompact.}  
Write \texttt{1} for true and \texttt{0} for false.",0
"Consider a multi-agent epistemic model with three agents $A,B,C$ operating in the multi-agent logic $\mathsf{S5}$.  
The set of possible worlds is $W=\mathbb{F}_2^{12}$, the set of all 12-bit binary strings 
$x=(x_1,x_2,\dots,x_{12})$ with arithmetic modulo 2 (XOR).  
The designated actual world is $w_\star=0$ (the all-zeros string). Each agent $i$ has an equivalence relation $R_i$ on $W$ representing indistinguishability.  
We define these via linear subspaces of $\mathbb{F}_2^{12}$:
 \textbf{Agent A:} Let $U_A=\mathrm{span}\{e_1,e_2\}$ where $e_j$ is the $j$th standard basis vector.  
Define $x\,R_A\,y$ iff $x-y\in U_A$ (equivalently, $x$ and $y$ differ only in coordinates 1 and 2).
 \textbf{Agent B:} Let $U_B=\mathrm{span}\{e_3,e_4\}$.  
Define $x\,R_B\,y$ iff $x-y\in U_B$.
 \textbf{Agent C:} Let $U_C=\mathrm{span}\{e_1+e_3,\,e_2+e_4\}$.  
Define $x\,R_C\,y$ iff $x-y\in U_C$.
\textbf{Epistemic operators.}  
Write $K_i\varphi$ for “agent $i$ knows $\varphi$,” 
$EG\varphi := K_A\varphi \wedge K_B\varphi \wedge K_C\varphi$ for “everyone knows $\varphi$,” 
and $CG\varphi$ for “common knowledge of $\varphi$ among $G=\{A,B,C\}$.”  
Common knowledge $CG\varphi$ holds at world $w$ iff $\varphi$ holds at every world reachable from $w$ 
by any finite sequence of steps along $R_A \cup R_B \cup R_C$.
\textbf{Component structure and tags.}  
Let $H=U_A+U_B+U_C$ (the subspace sum, computed with XOR addition).  
The connected components of the undirected graph with edge set $R_A\cup R_B\cup R_C$ 
are precisely the cosets $x+H$ for $x\in\mathbb{F}_2^{12}$.  
For each component $X$, define its tag as the 8-bit integer formed by the last eight coordinates of any world in $X$:
\mathrm{tag}(X) := \text{binary value of } (x_5x_6x_7x_8x_9x_{10}x_{11}x_{12}) \in \{0,1,\dots,255\}.
This is well-defined since $H$ acts only on the first four coordinates.
We consider valuations $V$ assigning truth values to three propositional atoms $p,q,r$ at each world.  
A valuation is \emph{admissible} iff it satisfies two conditions:
\textbf{(F1)} At $w_\star$: $\mathcal{M},w_\star\models CG(EGp \wedge EG\neg q)$.
\textbf{(F2)} Among all components $X\ne X_\star$ (where $X_\star$ is the component containing $w_\star$),  
call $X$ \emph{good} if for any (equivalently, every) $x\in X$:
\mathcal{M},x\models CGEGr \quad\wedge\quad CGEG(p\leftrightarrow r\oplus \mathrm{parity}(\mathrm{tag}(X))),
where $\mathrm{parity}(t)$ is the sum of bits in the binary representation of $t$ modulo $2$, 
and $\oplus$ denotes XOR.  
Let $S=\{X\ne X_\star : X \text{ is good}\}$. Then,
|S|\equiv 7\pmod{13}, \qquad \sum_{X\in S}\mathrm{tag}(X)\equiv45\pmod{97}.
Count the number of admissible valuations. Report your answer modulo $10{,}007$.",4814
"Let P be the poset consisting of all subsets of {1,2,…,12}, ordered by inclusion.
For each positive integer m, let Ω(m) be the number of order‑reversing maps σ: P → {1,2,…,m} (i.e., if A ⊆ B then σ(A) ≥ σ(B)). 
Let q = 1,000,003. Compute the residue modulo q of the alternating sum
T = ∑_{m=1}^{q−1} (−1)^m · Ω(m).
Output T mod q as a single integer in {0,1,…,q−1}.",0
"Let P be a 10-element antichain. 
Form the product poset Q = P × {1,2,…,14} with order (p,i) ≤ (q,j) iff p = q and i ≤ j. 
A subset I ⊆ Q is an order ideal if it is downward-closed in Q. 
Let Max(I) be the set of maximal elements of I (possibly empty). 
Call the second coordinate j of a maximal element its level. 
Count the order ideals I ⊆ Q that satisfy the following residue-balance condition (mod 3): among the elements of Max(I), the numbers whose levels are ≡ 0, ≡ 1, and ≡ 2 (mod 3) differ by at most 1. What is this count?",95749745991
"Let B20 be the lattice of all subsets of {1,2,3,…,20} ordered by inclusion. 
Form the induced subposet that keeps only those subsets whose size is even (including the empty set and the full set). 
What is the value of the Möbius function μ(∅,{1,2,3,…,20}) computed in this induced subposet?",-370371188237525
"Let f: N → Z satisfy Δ^4 f(n) = 0 for all n ≥ 0, where Δf(n) = f(n+1) − f(n). 
Extend f uniquely to all integers by requiring Δ^4 f(n) = 0 for every integer n. 
Assume further that the bi-infinite extension obeys f(n) + f(−n − 1) = 0 for all integers n, and that f(1) = 2 and f(2) = 10. 
Compute f(1,000,000) modulo 1,000,000,007.",326366
"Let F(x) = 997/(1−x^{997})^2 and G(x) = 1009/(1−x^{1009})^2. 
Define H(x) to be the power series whose nth coefficient equals the product of the nth coefficients of F(x) and G(x). 
Compute the coefficient of x^{1,005,973} in H(x).",1014000664540
